product_id,day,price,currency,price_base,in_stock,seen_at
books:00bfed9e18bb36f3,2026-07-31,34.53,GBP,43.8531,1,2026-07-31T15:05:25.678888+00:00
books:01d2001ac1e6f8a3,2026-07-31,52.37,GBP,66.5099,1,2026-07-31T15:05:25.678888+00:00
books:0312262ecafa5a40,2026-07-31,13.99,GBP,17.7673,1,2026-07-31T15:05:25.678888+00:00
books:0651062381f0636a,2026-07-31,51.36,GBP,65.2272,1,2026-07-31T15:05:25.678888+00:00
books:08db62f24627e71f,2026-07-31,55.85,GBP,70.9295,1,2026-07-31T15:05:25.678888+00:00
books:094b269567e1c300,2026-07-31,18.02,GBP,22.8854,1,2026-07-31T15:05:25.678888+00:00
books:09555be379ad9253,2026-07-31,16.28,GBP,20.6756,1,2026-07-31T15:05:25.678888+00:00
books:09b6cc87e62c2c58,2026-07-31,51.99,GBP,66.0273,1,2026-07-31T15:05:25.678888+00:00
books:0c27e6c3744fc14b,2026-07-31,29.06,GBP,36.9062,1,2026-07-31T15:05:25.678888+00:00
books:0da9aa9d24677fc0,2026-07-31,16.77,GBP,21.2979,1,2026-07-31T15:05:25.678888+00:00
books:0e0dcc3339602b28,2026-07-31,23.99,GBP,30.4673,1,2026-07-31T15:05:25.678888+00:00
books:0e691eda369f4e09,2026-07-31,13.34,GBP,16.9418,1,2026-07-31T15:05:25.678888+00:00
books:0fa6dceead7ce47a,2026-07-31,13.61,GBP,17.2847,1,2026-07-31T15:05:25.678888+00:00
books:116a2fdc9a45bab0,2026-07-31,29.99,GBP,38.0873,1,2026-07-31T15:05:25.678888+00:00
books:11809b1d323b3057,2026-07-31,48.41,GBP,61.4807,1,2026-07-31T15:05:25.678888+00:00
books:142d767a56a9254d,2026-07-31,56.41,GBP,71.6407,1,2026-07-31T15:05:25.678888+00:00
books:18ad3ed896c7ce05,2026-07-31,35.67,GBP,45.3009,1,2026-07-31T15:05:25.678888+00:00
books:19ed25f4641d5efd,2026-07-31,19.63,GBP,24.9301,1,2026-07-31T15:05:25.678888+00:00
books:1b33663ad7b95fd8,2026-07-31,12.23,GBP,15.5321,1,2026-07-31T15:05:25.678888+00:00
books:1c89ae5bb804e4de,2026-07-31,54.63,GBP,69.3801,1,2026-07-31T15:05:25.678888+00:00
books:1c929cfd16b71907,2026-07-31,43.55,GBP,55.3085,1,2026-07-31T15:05:25.678888+00:00
books:1dfe412b8ac00530,2026-07-31,52.15,GBP,66.2305,1,2026-07-31T15:05:25.678888+00:00
books:203b7f94b7d6115f,2026-07-31,55.99,GBP,71.1073,1,2026-07-31T15:05:25.678888+00:00
books:209adad1015af86f,2026-07-31,38.21,GBP,48.5267,1,2026-07-31T15:05:25.678888+00:00
books:228f74b74f3a08ae,2026-07-31,53.9,GBP,68.453,1,2026-07-31T15:05:25.678888+00:00
books:23356462d1320d61,2026-07-31,12.84,GBP,16.3068,1,2026-07-31T15:05:25.678888+00:00
books:2597b5a345f45e1b,2026-07-31,33.34,GBP,42.3418,1,2026-07-31T15:05:25.678888+00:00
books:29c0025455f8c585,2026-07-31,54.59,GBP,69.3293,1,2026-07-31T15:05:25.678888+00:00
books:2a70769cdc6eb8b8,2026-07-31,26.12,GBP,33.1724,1,2026-07-31T15:05:25.678888+00:00
books:2a97cffe61c3c4c7,2026-07-31,33.97,GBP,43.1419,1,2026-07-31T15:05:25.678888+00:00
books:2dbb7ec08cdd7f3c,2026-07-31,44.28,GBP,56.2356,1,2026-07-31T15:05:25.678888+00:00
books:2f88b08bf0a0e367,2026-07-31,29.0,GBP,36.83,1,2026-07-31T15:05:25.678888+00:00
books:30a7f60cd76ca58c,2026-07-31,20.66,GBP,26.2382,1,2026-07-31T15:05:25.678888+00:00
books:31001a1210623bd4,2026-07-31,14.19,GBP,18.0213,1,2026-07-31T15:05:25.678888+00:00
books:31075275518532d7,2026-07-31,23.89,GBP,30.3403,1,2026-07-31T15:05:25.678888+00:00
books:311c0dd0e354a33e,2026-07-31,54.35,GBP,69.0245,1,2026-07-31T15:05:25.678888+00:00
books:327f68a59745c102,2026-07-31,37.32,GBP,47.3964,1,2026-07-31T15:05:25.678888+00:00
books:37c0cb19713d8dda,2026-07-31,58.08,GBP,73.7616,1,2026-07-31T15:05:25.678888+00:00
books:38d45839cb1c83c1,2026-07-31,30.81,GBP,39.1287,1,2026-07-31T15:05:25.678888+00:00
books:3a11bb962ff45b78,2026-07-31,35.61,GBP,45.2247,1,2026-07-31T15:05:25.678888+00:00
books:3a6fb983e2554023,2026-07-31,55.53,GBP,70.5231,1,2026-07-31T15:05:25.678888+00:00
books:3b1c02bac2a429e6,2026-07-31,52.29,GBP,66.4083,1,2026-07-31T15:05:25.678888+00:00
books:3bebf34ee9330cbd,2026-07-31,12.61,GBP,16.0147,1,2026-07-31T15:05:25.678888+00:00
books:3c039985229453bf,2026-07-31,31.05,GBP,39.4335,1,2026-07-31T15:05:25.678888+00:00
books:3c346ab1e76ae1f6,2026-07-31,14.86,GBP,18.8722,1,2026-07-31T15:05:25.678888+00:00
books:3ecb690d1542c568,2026-07-31,31.77,GBP,40.3479,1,2026-07-31T15:05:25.678888+00:00
books:4165285e1663650f,2026-07-31,54.23,GBP,68.8721,1,2026-07-31T15:05:25.678888+00:00
books:42d0d7c92b75fc1c,2026-07-31,17.24,GBP,21.8948,1,2026-07-31T15:05:25.678888+00:00
books:43c6a960757cf559,2026-07-31,49.05,GBP,62.2935,1,2026-07-31T15:05:25.678888+00:00
books:460089f796fb3f82,2026-07-31,46.91,GBP,59.5757,1,2026-07-31T15:05:25.678888+00:00
books:46c1530d7546ea6d,2026-07-31,42.16,GBP,53.5432,1,2026-07-31T15:05:25.678888+00:00
books:4aa03792b50f0b22,2026-07-31,13.47,GBP,17.1069,1,2026-07-31T15:05:25.678888+00:00
books:4c28def39d850cdf,2026-07-31,40.3,GBP,51.181,1,2026-07-31T15:05:25.678888+00:00
books:4ce91d31c1e57c33,2026-07-31,42.98,GBP,54.5846,1,2026-07-31T15:05:25.678888+00:00
books:4eed62cf5f8d8edf,2026-07-31,19.09,GBP,24.2443,1,2026-07-31T15:05:25.678888+00:00
